id,name,latitude,longitude,mean_temp,min_pop,mean_pop,max_pop
1,Mont Saint Michel TOTO,48.6359541,-1.51146,12.47,20.62,45.33,80.0
2,St Malo,48.649518,-2.0260409,12.14,21.5,40.42,84.25
3,Bayeux,49.2764624,-0.7024738,13.0,0.0,28.73,70.0
4,Le Havre,49.4938975,0.1079732,12.58,0.0,39.27,75.0
5,Rouen,49.4404591,1.0939658,14.1,0.0,27.12,61.62
6,Paris,48.8588897,2.320041,16.04,0.0,28.23,72.88
7,Amiens,49.8941708,2.2956951,15.04,0.0,23.71,63.5
8,Lille,50.6365654,3.0635282,16.2,0.0,16.21,75.38
9,Strasbourg,48.584614,7.7507127,15.29,0.0,10.92,40.0
10,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,12.3,0.0,12.44,36.75
11,Colmar,48.0777517,7.3579641,15.22,0.0,10.33,22.88
12,Eguisheim,48.0447968,7.3079618,14.99,0.0,11.25,23.75
13,Besancon,47.2380222,6.0243622,15.51,0.0,8.88,24.25
14,Dijon,47.3215806,5.0414701,15.12,0.0,11.27,34.12
15,Annecy,45.8992348,6.1288847,16.51,0.0,8.48,42.5
16,Grenoble,45.1875602,5.7357819,18.96,0.0,14.33,43.5
17,Lyon,45.7578137,4.8320114,17.24,0.0,7.5,35.0
18,Gorges du Verdon,43.7496562,6.3285616,14.09,0.0,19.27,61.0
19,Bormes les Mimosas,43.1506968,6.3419285,16.32,0.0,9.33,34.5
20,Cassis,43.2140359,5.5396318,16.37,0.0,4.58,15.0
21,Marseille,43.2961743,5.3699525,17.34,0.0,4.58,15.0
22,Aix en Provence,43.5298424,5.4474738,18.72,0.0,3.75,12.75
23,Avignon,43.9492493,4.8059012,19.55,0.0,4.31,13.12
24,Uzes,44.0121279,4.4196718,18.25,0.0,7.06,26.5
25,Nimes,43.8374249,4.3600687,19.42,0.0,8.1,33.5
26,Aigues Mortes,43.5661521,4.19154,17.04,0.0,10.42,29.75
27,Saintes Maries de la mer,43.4515922,4.4277202,16.1,0.0,5.77,15.0
28,Collioure,42.52505,3.0831554,18.45,0.0,13.6,52.5
29,Carcassonne,43.2130358,2.3491069,17.4,0.0,33.6,93.0
30,Ariege,42.9455368,1.4065544,9.94,0.0,40.67,100.0
31,Toulouse,43.6044622,1.4442469,15.23,0.0,33.0,100.0
32,Montauban,44.0175835,1.3549991,15.01,0.0,28.25,71.75
33,Biarritz,43.4832523,-1.5592776,14.89,5.62,37.96,81.12
34,Bayonne,43.4945144,-1.4736657,15.28,2.12,36.12,82.5
35,La Rochelle,46.159732,-1.1515951,13.56,30.0,69.02,100.0
